"Task:","Number of Direction Changes:","Average X Acceleration Change:","Average Y Acceleration Change:"
"scoop and add coffee","7","0.03798498528571429","5.050561507428571"
"add jelly","5","0.037005781659999994","5.076726632000001"
"turn toaster on","4","0.09612786999999999","4.777720550000001"
"add butter","10","0.09183086817","4.9594854166"
"remove toast from toaster","7","0.06119666308571429","5.07405019"
"","0","0","0"
"stir","5","0.08020465432","5.242267858"
"bt","4","0.0351881815","4.95585161925"
"take sugar","23","0.05560139076521738","5.142301419695651"
"take cream","4","0.03878327465","4.984599016500001"
